县/县级市/区,五大超市总和
天宁区,2
天元区,2
桐乡市,2
屯溪区,2
吴兴区,2
芜湖县,2
武清区,2
婺城区,2
西城区,2
锡山区,2
相城区,2
相山区,2
新北区,2
新建县,2
新津县,2
新市,2
兴隆台区,2
兴宁区,2
兴庆区,2
兴义市,2
邢台市桥东区,2
邢台市桥西区,2
杏花岭区,2
秀山土家族苗族自治县,2
秀洲区,2
徐州市鼓楼区,2
延平区,2
义乌市,2
弋江区,2
迎泽区,2
永川区,2
于洪区,2
余姚市,2
雨山区,2
源城区,2
岳麓区,2
越秀区,2
增城市,2
站前区,2
章贡区,2
芝罘区市,2
忠县,2
钟楼区,2
安宁市,1
安平县,1
安溪县,1
安县,1
安源区,1
安岳县,1
巴州区,1
鲅鱼圈区,1
白塔区,1
包头市青山区,1
宝塔区,1
北安市,1
北关区,1
北湖区,1
北林区,1
北塘区,1
滨城区,1
滨海县,1
博爱县,1
蔡甸区,1
长丰县,1
长葛市,1
长泰县,1
长兴县,1
长洲区,1
城口县,1
城西区,1
赤壁市,1
船山区,1
船营区,1
丛台区,1
达县,1
大丰市,1
大石桥市,1
大邑县,1
丹徒区,1
当涂县,1
德化县,1
德清县,1
垫江县,1
叠彩区,1
定远县,1
定州市,1
东安区,1
东昌府区,1
东港区,1
东丽区,1
东陵区,1
东区,1
东胜区,1
东台市,1
东西湖区,1
东兴区,1
东至县,1
都江堰市,1
都匀市,1
独山县,1
掇刀区,1
繁昌县,1
分宜县,1
汾阳市,1
丰城市,1
丰都县,1
凤台县,1
奉贤区,1
涪陵区,1
福安市,1
福鼎市,1
福山区,1
阜宁县,1
阜新市海州区,1
港闸区,1
高淳区,1
高港区,1
个旧市,1
古城区,1
古塔区,1
古田县,1
光泽县,1
广安区,1
广德县,1
广宁县,1
贵阳市白云区,1
海城区,1
海城市,1
海港区,1
海门市,1
海盐县,1
邯郸县,1
邯山区,1
寒亭区,1
汉川市,1
合江县,1
和平区和平区,1
和县,1
河北区,1
荷塘区,1
赫山区,1
鹤城区,1
鹤山市,1
红安县,1
红旗区,1
红桥区,1
红塔区,1
洪湖市,1
洪泽县,1
湖滨区,1
怀来县,1
怀远县,1
淮阴区,1
槐荫区,1
黄埔区,1
黄浦区,1
黄石港区,1
黄岩区,1
黄州区,1
辉县市,1
吉州区,1
即墨市,1
济南市市中区,1
夹江县,1
嘉陵区,1
贾汪区,1
尖山区,1
犍为县,1
建德市,1
建宁县,1
建水县,1
江安县,1
江都区,1
江山市,1
将乐县,1
郊区,1
椒江区市,1
金台区,1
荆州区,1
靖江市,1
镜湖区,1
鸠江区,1
句容市,1
开平市,1
开县,1
开阳县,1
开原市,1
莱城区,1
莱阳市,1
莱州市,1
兰溪市,1
兰州市城关区,1
阆中市,1
崂山区,1
老城区仙果市,1
乐昌市,1
乐山市市中区,1
冷水江市,1
历城区,1
立山区,1
利辛县,1
利州区,1
溧水区,1
连云区,1
涟水县,1
廉江市,1
烈山区,1
临泉县,1
临翔区,1
凌河区,1
浏阳市,1
柳北区,1
柳南区,1
六枝特区,1
龙港区,1
龙湖区,1
龙里县,1
龙沙区,1
龙山区,1
龙湾区,1
龙子湖区,1
芦淞区,1
路桥区,1
旅顺口区,1
罗定市,1
罗源县,1
罗庄区,1
洛江区,1
洛龙区,1
麻城市,1
麻章区,1
茂南区,1
眉山市,1
梅江区,1
美兰区,1
蒙城县,1
弥勒县,1
闽清县,1
牡丹江市西安区,1
南部县,1
南长区,1
南郊区,1
南靖县,1
南陵县,1
南沙区,1
南市,1
南溪区,1
南雄市,1
宁波市江北区,1
宁国市,1
宁乡县,1
瓯海区,1
盘县,1
邳州市,1
平顶山市新华区,1
平度市,1
平和县,1
平湖市,1
平山县,1
蒲江县,1
浦城县,1
浦江县,1
普宁市,1
栖霞区,1
淇滨区,1
启东市,1
迁安市,1
谯城区,1
钦南区,1
秦都区,1
沁阳市,1
青阳县,1
青州市,1
清浦区,1
清镇市,1
渠县,1
让胡路区,1
仁怀市,1
仁寿县,1
荣成市,1
荣县,1
润州区,1
三水区,1
沙县,1
山阳区,1
上杭县,1
邵武市,1
射阳县,1
浉河区,1
什邡市,1
石柱土家族自治县,1
沭阳县,1
双桥区,1
双塔区,1
双台子区,1
水磨沟区,1
顺昌县,1
思茅区,1
思南县,1
四会市,1
泗洪县,1
泗阳县,1
松北区,1
松山区,1
苏家屯区,1
宿豫区,1
绥阳县,1
遂溪县,1
太和县,1
泰山区,1
泰兴市,1
洮北区,1
桃山区,1
滕州市,1
天桥区,1
天山区,1
通川区,1
同安区,1
桐庐县,1
铜官山区,1
铜梁县,1
万秀区,1
卫东区,1
文登市,1
文山市,1
吴川市,1
伍家岗区,1
武汉市青山区,1
武江区,1
武陵区,1
武隆县,1
武胜县,1
武夷山市,1
武义县,1
西安市长安区,1
西昌市,1
西充县,1
西区,1
西秀区,1
细河区,1
霞山区,1
仙桃市,1
咸安区,1
湘桥区,1
襄州区,1
象山县,1
孝义市,1
新抚区,1
新化县,1
新会区,1
新浦区,1
信州区,1
兴宾区,1
兴化市,1
盱眙县,1
宣汉县,1
宣化区,1
宣威市,1
宣州区,1
浔阳区,1
延吉市,1
延庆县,1
盐湖区市,1
兖州市,1
雁江区,1
伊川县,1
宜良县,1
银海区,1
应城市,1
英德市,1
荥阳市,1
颍泉区,1
永康市,1
永泰县,1
攸县,1
尤溪县,1
游仙区,1
酉阳土家族苗族自治县,1
渝水区,1
鱼峰区,1
榆次区,1
禹州市,1
玉环县,1
月湖区,1
云龙区,1
云霄县,1
枣庄市市中区,1
曾都区,1
张北县,1
张家口市桥东区,1
张家口市桥西区,1
章丘市,1
漳浦县,1
昭阳区,1
肇东市,1
浈江区,1
镇海区,1
中牟县,1
中山区,1
珠山区,1
涿州市,1
梓潼县,1
自流井区,1
遵化市,1
遵义县,1
