商场名,经度,纬度,地址
沃尔玛超市(顾村分店),31.358627,121.388124,上海市宝山区沪太路4935号
沃尔玛(江桥分店),31.26599,121.35267,上海市嘉定区曹安公路2118号-1023室
沃尔玛车库洗车房,31.193539,121.384335,上海市闵行区虹中路535号
大润发,31.298638,121.311364,上海市嘉定区德华路725号
大润发(三林店),31.155303,121.498261,上海市浦东新区长清路1200号-1层-b10-12室
大润发(杨浦店),31.294889,121.528995,上海市杨浦区国权东路175号
大润发(康桥店),31.140207,121.585954,上海市浦东新区秀沿路1080号
大润发(俞泾港路店),31.272873,121.47299,上海市闸北区平型关路108弄-6号
大润发(大宁店),31.280169,121.457877,上海市闸北区共和新路2008号
大润发(闸北店),31.304295,121.454122,上海市闸北区江场西路77号
大润发(春申店),31.113784,121.414874,上海市闵行区春申路768号
大润发(华漕店),31.216502,121.299113,上海市闵行区繁兴路399弄-2号
大润发(曹安店),31.258285,121.368344,上海市嘉定区新郁路835号
大润发(大华店),31.286486,121.427753,上海市宝山区华灵路1051
大润发(泥城店),30.915419,121.826707,上海市浦东新区南芦公路1747号
大润发(奉贤店),30.912143,121.451125,上海市奉贤区南亭公路601号
大润发(松江店),31.023686,121.225443,上海市松江区荣乐中路622号
大润发(曹安公路辅路),31.29383,121.16688,上海市嘉定区G312(曹安公路)
大润发(三湘商业广场店),31.122917,121.265568,上海市松江区横港路18弄-216号
大润发(榆中路),31.261247,121.332441,上海市嘉定区靖远路1200-153号
大润发电动自行车专卖厅,31.280464,121.457892,上海市闸北区共和新路2008号
上海金一黄金银楼大润发(美兰湖店),31.41522,121.357916,上海市宝山区月罗公路2366号
大润发(上海泗泾店),31.027312,121.23082,上海市松江区松江人民北路
麦德龙(上海浦东商场店),31.21127,121.563644,上海市浦东新区龙阳路
麦德龙(虹口店),31.295965,121.474235,上海市虹口区广粤路418号-1楼
麦德龙(闵行店),31.154321,121.413711,上海市闵行区平吉路31
麦德龙,30.73866,121.333766,上海市金山区城河路327号
麦德龙培训厨房,31.248824,121.391781,上海市普陀区真北路1425号
麦德龙(马陆店),31.332308,121.274495,上海市嘉定区宝安公路3670号
麦德龙(松江店),31.061578,121.247135,上海市松江区松良路
麦德龙(西藏南路商场),31.230056,121.486947,上海市黄浦区西藏南路28
麦德龙(上海青浦商场店),31.152076,121.152903,上海市青浦区崧文南路
